 	ARID5B	KRAS	CREBBP	EP400	EP300	TP53	FBXW7	MAP3K1	FAT1	RNF43	CACNA1D	CTNNB1	MKI67	SETD2	LRRK2	NSD1	TAF1	ROS1	KMT2B	FAT4	MED12	KMT2C	ATRX	TRRAP	ZFHX3	LRP1B	RNF213	PIK3R1	RANBP2	ARHGAP35	ARID1A	ZMYM2	SMG1	JAK1	CTCF	MGAM	BRCA2	RB1	NF1	KMT2D	PDE4DIP	PCLO	POLE	NCOR2	PIK3CA	INPPL1	ATM	PRKDC	CHD4	APC	FGFR2	MGA	BCOR	BCORL1	NCOR1	TPR	KMT2A	RELN	PTEN
TCGA-AP-A0LM	1	1	1	6	2	0	1	1	10	3	3	2	4	5	3	4	6	1	4	16	4	3	8	7	9	5	6	0	1	5	1	3	7	2	1	7	7	2	6	3	0	9	2	7	5	2	2	5	0	6	2	3	2	3	1	4	2	2	0
TCGA-A5-A0GU	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
TCGA-D1-A160	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-D1-A15Z	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
TCGA-D1-A16E	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2
TCGA-D1-A177	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-B5-A0K2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-D1-A17N	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
TCGA-B5-A0K6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
TCGA-AX-A0J1	0	0	2	2	0	0	0	2	4	1	1	2	4	2	1	0	3	1	0	4	0	2	1	4	5	4	3	1	2	1	0	0	1	1	0	2	3	2	3	3	0	2	2	1	0	0	3	3	1	1	1	0	1	1	2	2	2	0	1
TCGA-B5-A0JR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1
TCGA-BK-A0C9	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TCGA-D1-A16F	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	2
TCGA-B5-A11S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-BS-A0TJ	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
